City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
42,Banjar,ID,78.96,overcast clouds,-8.19,114.9675,The Hamsa Resort
43,Plettenberg Bay,ZA,61.16,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
44,Atuona,PF,78.03,clear sky,-9.8,-139.0333,Villa Enata
45,Healesville,AU,56.62,overcast clouds,-37.65,145.5167,Tuck Inn Yarra Valley Accommodation Healesville
48,Victoria,HK,74.32,overcast clouds,22.2855,114.1577,Mini Central
50,Banda Aceh,ID,78.37,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
51,San Patricio,US,51.67,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
52,San Pedro,PH,78.03,scattered clouds,14.35,121.0167,Palines Apartment and Guesthouse
54,Roebourne,AU,72.12,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
55,Fortuna,US,64.92,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
56,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
57,Saraland,US,53.62,overcast clouds,30.8207,-88.0706,Microtel Inn & Suites by Wyndham Saraland/North Mobile
58,Fukue,JP,61.43,light rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
61,Airai,TL,65.1,overcast clouds,-8.9266,125.4092,
